File Name,LongTermTest3,,,,,
Date,11/6/2018,,,,,
Time,11:28:26,,,,,
Test Info,\,,,,,
Directory,C:\emms\test\LongTermTest3.csv,,,,,
,,,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used,,
"5h, 5m, 37s",878,3000,45,0,,
"5h, 6m, 38s",878,3000,45,0,,
"5h, 7m, 40s",876,3000,45,0,,
"5h, 8m, 41s",878,3000,45,0,,
"5h, 9m, 42s",878,3000,46,0,,
"5h, 10m, 43s",876,3000,46,0,,
"5h, 11m, 44s",878,3000,46,0,,
"5h, 12m, 45s",878,3000,46,0,,
"5h, 13m, 46s",874,3000,46,0,,
"5h, 14m, 48s",876,3000,46,0,,
"5h, 15m, 49s",878,3000,47,0,,
"5h, 16m, 50s",874,3000,47,0,,
"5h, 17m, 51s",874,3000,47,0,,
"5h, 18m, 52s",874,3000,47,0,,
"5h, 19m, 53s",874,3000,47,0,,
"5h, 20m, 54s",874,3000,47,0,,
"5h, 21m, 55s",876,3000,47,0,,
"5h, 22m, 57s",874,3000,48,0,,
"5h, 23m, 58s",874,3000,48,0,,
"5h, 24m, 59s",872,3000,48,0,,
"5h, 26m, 0s",868,3000,48,0,,
"5h, 27m, 1s",870,3000,48,0,,
"5h, 28m, 2s",872,3000,48,0,,
"5h, 29m, 3s",874,3000,48,0,,
"5h, 30m, 4s",872,3000,49,0,,
"5h, 31m, 6s",874,3000,49,0,,
"5h, 32m, 7s",872,3000,49,0,,
"5h, 33m, 8s",874,3000,49,0,,
"5h, 34m, 9s",874,3000,49,0,,
"5h, 35m, 10s",872,3000,49,0,,
"5h, 36m, 11s",872,3000,50,0,,
"5h, 37m, 12s",870,3000,50,0,,
"5h, 38m, 13s",870,3000,50,0,,
"5h, 39m, 14s",870,3000,50,0,,
"5h, 40m, 16s",870,3000,50,0,,
"5h, 41m, 17s",872,3000,50,0,,
"5h, 42m, 18s",872,3000,50,0,,
"5h, 43m, 19s",874,3000,51,0,,
"5h, 44m, 20s",872,3000,51,0,,
"5h, 45m, 21s",870,3000,51,0,,
"5h, 46m, 22s",870,3000,51,0,,
"5h, 47m, 23s",868,3000,51,0,,
"5h, 48m, 25s",870,3000,51,0,,
"5h, 49m, 26s",870,3000,51,0,,
"5h, 50m, 27s",896,3000,52,0,,
"5h, 51m, 28s",894,3000,52,0,,
"5h, 52m, 29s",894,3000,52,0,,
"5h, 53m, 30s",896,3000,52,0,,
"5h, 54m, 31s",894,3000,52,0,,
"5h, 55m, 32s",894,3000,52,0,,
"5h, 56m, 33s",894,3000,52,0,,
"5h, 57m, 35s",894,3000,53,0,,
"5h, 58m, 36s",894,3000,53,0,,
"5h, 59m, 37s",894,3000,53,0,,
"6h, 38s",894,3000,53,0,,
"6h, 1m, 39s",892,3000,53,0,,
"6h, 2m, 40s",892,3000,53,0,,
"6h, 3m, 41s",894,3000,54,0,,
"6h, 4m, 42s",894,3000,54,0,,
"6h, 5m, 43s",894,3000,54,0,,
"6h, 6m, 45s",896,3000,54,0,,
"6h, 7m, 46s",894,3000,54,0,,
"6h, 8m, 47s",894,3000,54,0,,
"6h, 9m, 48s",892,3000,54,0,,
"6h, 10m, 49s",892,3000,55,0,,
"6h, 11m, 50s",894,3000,55,0,,
"6h, 12m, 51s",894,3000,55,0,,
"6h, 13m, 53s",894,3000,55,0,,
"6h, 14m, 54s",894,3000,55,0,,
"6h, 15m, 55s",896,3000,55,0,,
"6h, 16m, 56s",896,3000,56,0,,
"6h, 17m, 57s",896,3000,56,0,,
"6h, 18m, 58s",896,3000,56,0,,
"6h, 19m, 59s",896,3000,56,0,,
"6h, 21m, 0s",896,3000,56,0,,
"6h, 22m, 2s",894,3000,56,0,,
"6h, 23m, 3s",898,3000,56,0,,
"6h, 24m, 4s",898,3000,57,0,,
"6h, 25m, 5s",898,3000,57,0,,
"6h, 26m, 6s",898,3000,57,0,,
"6h, 27m, 7s",898,3000,57,0,,
"6h, 28m, 8s",898,3000,57,0,,
"6h, 29m, 9s",900,3000,57,0,,
"6h, 30m, 10s",900,3000,57,0,,
"6h, 31m, 12s",898,3000,57,0,,6:00 PM
"13h, 38m, 33s",892,3000,121,0,,1:30ish AM
"13h, 39m, 34s",888,3000,121,0,,
