File Name,LongTermTest1,,,
Date,2018-10-30,,,
Test Info,User had no comments,,,
Directory,C:\emms\test\LongTermTest1.csv,,,
,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
189511.1,902,3000,472,-544
189572.3,904,3000,472,-544
189633.4,902,3000,473,-544
189694.6,904,3000,473,-544
189755.7,906,3000,473,-544
189816.8,902,3000,473,-544
189878.0,904,3000,473,-544
189939.1,904,3000,473,-544
190000.3,902,3000,474,-544
190061.4,902,3000,474,-544
190122.6,904,3000,474,-544
190183.7,904,3000,474,-544
190244.8,904,3000,474,-544
190305.9,902,3000,474,-544
190367.1,902,3000,474,-544
190428.2,902,3000,475,-544
190489.4,906,3000,475,-544
190550.5,902,3000,475,-544
190611.6,902,3000,475,-544
190672.7,902,3000,475,-544
190733.8,904,3000,475,-544
190794.9,900,3000,476,-544
190856.1,906,3000,476,-544
190917.3,904,3000,476,-544
190978.4,902,3000,476,-544
191039.5,906,3000,476,-544
191100.7,904,3000,476,-544
191161.8,904,3000,476,-544
191223.0,898,3000,477,-544
191284.1,904,3000,477,-544
191345.2,904,3000,477,-544
191406.3,906,3000,477,-544
191467.5,908,3000,477,-544
191528.7,904,3000,477,-544
191589.8,902,3000,478,-544
191650.9,908,3000,478,-544
191712.0,908,3000,478,-544
191773.2,908,3000,478,-544
191834.3,904,3000,478,-544
191895.4,904,3000,478,-544
191956.5,906,3000,478,-544
192017.6,904,3000,479,-544
192078.8,908,3000,479,-544
192139.9,906,3000,479,-544
192201.1,904,3000,479,-544
192262.2,908,3000,479,-544
192323.3,908,3000,479,-544
192384.4,906,3000,480,-544
192445.6,908,3000,480,-544
192506.7,908,3000,480,-544
192567.8,910,3000,480,-544
192629.0,910,3000,480,-544
192690.1,906,3000,480,-544
192751.3,908,3000,480,-544
192812.4,908,3000,481,-544
192873.5,906,3000,481,-544
192934.6,906,3000,481,-544
192995.7,906,3000,481,-544
193056.9,904,3000,481,-544
193118.0,906,3000,481,-544
193179.1,906,3000,482,-544
193240.2,906,3000,482,-544
193301.4,902,3000,482,-544
193362.5,904,3000,482,-544
193423.6,904,3000,482,-544
193484.7,904,3000,482,-544
193545.9,906,3000,482,-544
193607.0,904,3000,483,-544
193668.2,904,3000,483,-544
193729.4,904,3000,483,-544
193790.5,904,3000,483,-544
193851.6,902,3000,483,-544
193912.7,898,3000,483,-544
193974.0,900,3000,484,-544
194035.1,902,3000,484,-544
194096.3,902,3000,484,-544
194157.4,902,3000,484,-544
194218.5,902,3000,484,-544
194279.7,900,3000,484,-544
194340.8,902,3000,484,-544
194401.9,900,3000,485,-544
194463.0,900,3000,485,-544
194524.1,902,3000,485,-544
194585.3,902,3000,485,-544
194646.4,902,3000,485,-544
194707.5,902,3000,485,-544
194768.6,902,3000,486,-544
194829.7,900,3000,486,-544
194890.9,902,3000,486,-544
194952.1,904,3000,486,-544
195013.2,904,3000,486,-544
195074.4,904,3000,486,-544
195135.5,902,3000,486,-544
195196.7,902,3000,487,-544
195257.8,900,3000,487,-544
195318.9,902,3000,487,-544
195380.0,902,3000,487,-544
195441.2,902,3000,487,-544
195502.3,902,3000,487,-544
195563.4,904,3000,488,-544
195624.6,900,3000,488,-544
195685.7,902,3000,488,-544
195746.8,904,3000,488,-544
195808.0,902,3000,488,-544
