File Name,2018-11-08 - Copy,,,,,,
Date,11/8/2018,,,,,,
Time,11:49:58,,,,,,
Test Info,User had no comments,,,,,,
Directory,C:\emms\test\2018-11-08 - Copy.csv,,,,,,
,,,,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used,,,
"8h, 36m, 51s",884,3000,77,0,,,
"8h, 37m, 52s",884,3000,77,0,,,
"8h, 38m, 53s",884,3000,77,0,,,
"8h, 39m, 54s",884,3000,77,0,,,
"8h, 40m, 55s",882,3000,77,0,,,
"8h, 41m, 57s",882,3000,78,0,,,
"8h, 42m, 58s",880,3000,78,0,,,
"8h, 43m, 59s",880,3000,78,0,,,
"8h, 45m, 0s",880,3000,78,0,,,
"8h, 46m, 1s",882,3000,78,0,,,
"8h, 47m, 2s",880,3000,78,0,,,
"8h, 48m, 3s",880,3000,78,0,,,
"8h, 49m, 5s",880,3000,79,0,,,
"8h, 50m, 6s",880,3000,79,0,,,
"8h, 51m, 7s",882,3000,79,0,,,
"8h, 52m, 8s",882,3000,79,0,,~~9pm,
"13h, 16m, 30s",888,3000,118,0,,~1am,
"13h, 17m, 31s",890,3000,119,0,,,
"13h, 18m, 32s",888,3000,119,0,,,
"89h, 46m, 59s",884,3000,800,0,,,11th
"89h, 48m, 0s",880,3000,800,0,,,
"89h, 49m, 1s",884,3000,800,0,,,
"89h, 50m, 2s",890,3000,801,0,,,
"89h, 51m, 3s",892,3000,801,0,,,
"89h, 52m, 4s",888,3000,801,0,,,
"89h, 53m, 6s",884,3000,801,0,,,
"89h, 54m, 7s",886,3000,801,0,,,
"89h, 55m, 8s",890,3000,801,0,,,
"89h, 56m, 9s",892,3000,801,0,,,
"89h, 57m, 10s",890,3000,802,0,,,
"89h, 58m, 11s",886,3000,802,0,,,
"89h, 59m, 12s",886,3000,802,0,,,
"90h, 14s",886,3000,802,0,,,
"90h, 1m, 15s",886,3000,802,0,,,
"90h, 2m, 16s",892,3000,802,0,,,
"90h, 3m, 17s",890,3000,803,0,,,
"90h, 4m, 18s",886,3000,803,0,,,
"90h, 5m, 19s",884,3000,803,0,,,
"90h, 6m, 20s",888,3000,803,0,,,
"90h, 7m, 21s",884,3000,803,0,,,
"90h, 8m, 23s",886,3000,803,0,,,
"90h, 9m, 24s",882,3000,803,0,,,
"90h, 10m, 25s",880,3000,804,0,,,
"90h, 11m, 26s",880,3000,804,0,,,
"90h, 12m, 27s",880,3000,804,0,,,
"90h, 13m, 28s",882,3000,804,0,,,
"90h, 14m, 29s",882,3000,804,0,,,
"90h, 15m, 30s",882,3000,804,0,,,
"90h, 16m, 31s",884,3000,804,0,,,
"90h, 17m, 33s",884,3000,805,0,,,
"90h, 18m, 34s",880,3000,805,0,,,
"90h, 19m, 35s",878,3000,805,0,,,
"90h, 20m, 36s",878,3000,805,0,,,
"90h, 21m, 37s",878,3000,805,0,,,
"90h, 22m, 38s",878,3000,805,0,,,
"90h, 23m, 39s",882,3000,806,0,,,
"90h, 24m, 41s",880,3000,806,0,,,
"90h, 25m, 42s",884,3000,806,0,,,
"90h, 26m, 43s",886,3000,806,0,,,
"90h, 27m, 44s",886,3000,806,0,,,
"90h, 28m, 45s",888,3000,806,0,,,
"90h, 29m, 46s",886,3000,806,0,,,
"90h, 30m, 47s",884,3000,807,0,,,
"90h, 31m, 48s",886,3000,807,0,,,
"90h, 32m, 50s",884,3000,807,0,,,
"90h, 33m, 51s",886,3000,807,0,,,
"90h, 34m, 52s",884,3000,807,0,,,
"90h, 35m, 53s",884,3000,807,0,,,
"90h, 36m, 54s",886,3000,807,0,,,
"90h, 37m, 55s",884,3000,808,0,,,
"90h, 38m, 56s",884,3000,808,0,,,
"90h, 39m, 58s",884,3000,808,0,,,
"90h, 40m, 59s",878,3000,808,0,,,
"90h, 42m, 0s",878,3000,808,0,,,
"90h, 43m, 1s",904,3000,808,0,,,
"90h, 44m, 2s",896,3000,809,0,,,
"90h, 45m, 3s",896,3000,809,0,,,
"90h, 46m, 4s",898,3000,809,0,,,
"90h, 47m, 6s",896,3000,809,0,,,
"90h, 48m, 7s",898,3000,809,0,,,
"90h, 49m, 8s",898,3000,809,0,,,
"90h, 50m, 9s",898,3000,809,0,,,
"90h, 51m, 10s",896,3000,810,0,,,
"90h, 52m, 11s",896,3000,810,0,,,
"90h, 53m, 12s",900,3000,810,0,,,
"90h, 54m, 13s",898,3000,810,0,,,
"90h, 55m, 15s",900,3000,810,0,,,
"90h, 56m, 16s",900,3000,810,0,,,
"94h, 16m, 21s",904,3000,840,0,,,
"94h, 17m, 22s",906,3000,841,0,,,
"94h, 18m, 23s",906,3000,841,0,,,
"94h, 19m, 24s",908,3000,841,0,,,
"94h, 20m, 25s",904,3000,841,0,,,
"94h, 21m, 26s",904,3000,841,0,,,
"94h, 22m, 28s",906,3000,841,0,,,
"94h, 23m, 29s",906,3000,841,0,,,
"94h, 24m, 30s",906,3000,842,0,,,
"94h, 25m, 31s",906,3000,842,0,,,
"94h, 26m, 32s",908,3000,842,0,,,
"94h, 27m, 33s",906,3000,842,0,,,
"94h, 28m, 35s",908,3000,842,0,,,
"94h, 29m, 36s",908,3000,842,0,,,
"94h, 30m, 37s",906,3000,843,0,,,
"94h, 31m, 38s",908,3000,843,0,,,
"94h, 32m, 39s",908,3000,843,0,,,
"94h, 33m, 40s",908,3000,843,0,,,
"94h, 34m, 41s",910,3000,843,0,,,
"94h, 35m, 42s",908,3000,843,0,,,
"94h, 36m, 44s",908,3000,843,0,,,
"94h, 37m, 45s",908,3000,844,0,,,
"94h, 38m, 46s",906,3000,844,0,,,
"94h, 39m, 47s",908,3000,844,0,,,
"94h, 40m, 48s",906,3000,844,0,,,
"94h, 41m, 49s",908,3000,844,0,,,
"94h, 42m, 50s",906,3000,844,0,,,
"94h, 43m, 52s",906,3000,845,0,,,
"94h, 44m, 53s",908,3000,845,0,,,
"94h, 45m, 54s",908,3000,845,0,,,
"94h, 46m, 55s",910,3000,845,0,,,
"94h, 47m, 56s",908,3000,845,0,,,
"94h, 48m, 57s",908,3000,845,0,,,
"94h, 49m, 58s",910,3000,845,0,,,
"94h, 51m, 0s",908,3000,846,0,,,
"94h, 52m, 1s",908,3000,846,0,,,
"94h, 53m, 2s",908,3000,846,0,,,
"94h, 54m, 3s",908,3000,846,0,,,
"94h, 55m, 4s",910,3000,846,0,,,
"94h, 56m, 5s",910,3000,846,0,,,
"94h, 57m, 6s",912,3000,847,0,,,
"94h, 58m, 8s",912,3000,847,0,,,
"94h, 59m, 9s",914,3000,847,0,,,
"95h, 10s",912,3000,847,0,,,
"95h, 1m, 11s",916,3000,847,0,,,
